coords,res
5049,56
5051,56
5053,56
5058,56
5060,56
5061,56
5063,56
5067,56
5068,56
5074,56
5072,56
5077,56
5070,56
5079,56
5081,56
5091,56
5082,56
5089,56
5090,56
5097,56
5099,56
5094,56
5100,56
5103,56
5104,56
5111,56
5112,56
5098,56
5113,56
5114,56
5115,56
5119,56
5122,56
5124,56
5125,56
5129,56
5131,56
5130,56
5133,56
5118,56
5136,56
5137,56
5123,56
5138,56
5141,56
5142,56
5150,56
5152,56
5155,56
5156,56
5158,57
5157,57
5160,57
5163,57
5166,57
5169,57
5170,57
5174,57
5176,57
5179,57
5184,57
5186,57
5187,57
5188,57
5190,57
5191,57
5196,57
5197,57
5200,57
5201,57
5204,57
5205,57
5206,57
5209,57
5210,57
5214,57
5223,57
5226,57
5227,57
5228,57
5236,57
5239,57
5243,57
5244,57
5247,57
5250,57
5255,57
5257,57
5259,57
5260,57
5261,57
5265,57
5268,57
5273,57
5279,57
5280,57
5292,57
5293,57
5296,57
5297,57
5298,57
5301,57
5304,57
5306,57
5307,57
5308,57
5310,57
5313,57
5314,57
5315,57
5316,57
5320,57
5321,57
5322,57
5323,57
5327,57
5328,57
5330,57
5333,57
5336,57
5337,57
5338,57
5339,57
5341,57
5343,57
5345,57
5347,57
5348,58
5351,58
5354,58
5359,58
5363,58
5367,58
5369,58
5373,58
5377,58
5380,58
5381,58
5383,58
5384,58
5385,58
5387,58
5388,58
5391,58
5393,58
5396,58
5397,58
5400,58
5405,58
5408,58
5409,58
5410,58
5411,58
5412,58
5413,58
5416,58
5419,58
5421,58
5425,58
5427,58
5429,58
5431,58
5433,58
5434,58
5436,58
5437,58
5438,58
5439,58
5442,58
5443,58
5450,58
5455,58
5456,58
5457,58
5459,58
5465,58
5466,58
5470,58
5472,58
5474,58
5475,58
5482,58
5486,58
5487,58
5490,58
5501,58
5503,58
5507,58
5509,58
5511,58
5512,58
5515,58
5517,58
5519,58
5521,58
5523,58
5525,58
5527,58
5529,58
5532,58
5533,58
5534,58
5538,59
5539,59
5546,59
5552,59
5553,59
5554,59
5556,59
5558,59
5560,59
5561,59
5563,59
5566,59
5568,59
5571,59
5573,59
5574,59
5576,59
5577,59
5581,59
5587,59
5588,59
5594,59
5595,59
5597,59
5598,59
5602,59
5601,59
5603,59
5604,59
5606,59
5609,59
5610,59
5611,59
5612,59
5613,59
5614,59
5615,59
5616,59
5617,59
5619,59
5621,59
5624,59
5625,59
5627,59
5629,59
5630,59
5633,59
5639,59
5643,59
5645,59
5646,59
5649,59
5650,59
5653,59
5654,59
5655,59
5658,59
5660,59
5659,59
5664,59
5665,59
5666,59
5668,59
5672,59
5674,59
5673,59
5677,59
5681,59
5684,59
5685,59
5686,59
5691,59
5694,59
5699,59
5701,60
5704,60
5705,60
